"Pack","SourcePath","StagedPackPath","TotalFiles","JsFiles","PluginJsFiles"
"3D Particle Effect Pack","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\3D Particle Effect Pack","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\3D Particle Effect Pack","2209","34","8"
"BasicResources","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\BasicResources","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\BasicResources","745","61","0"
"CAMERA MOVEMENT PLUGIN","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\CAMERA MOVEMENT PLUGIN","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\CAMERA MOVEMENT PLUGIN","134","30","2"
"Fantasy Generator - Armor Parts Set for MZ","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\Fantasy Generator - Armor Parts Set for MZ","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\Fantasy Generator - Armor Parts Set for MZ","2093","0","0"
"FantasyResourcePack","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\FantasyResourcePack","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\FantasyResourcePack","29","0","0"
"Menu Builder","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\Menu Builder","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\Menu Builder","2775","43","12"
"MV Trinity Resource Pack","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\MV Trinity Resource Pack","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\MV Trinity Resource Pack","8384","34","8"
"NpcResourcePack","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\NpcResourcePack","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\NpcResourcePack","12","0","0"
"RemakeMapResourcePack","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\RemakeMapResourcePack","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\RemakeMapResourcePack","532","0","0"
"UI Icon Set","C:\Program Files (x86)\Steam\steamapps\common\RPG Maker MZ\dlc\UI Icon Set","C:\dev\URPG Maker\third_party\rpgmaker-mz\steam-dlc\packs\UI Icon Set","516","0","0"
